ID,Name,Sex,Age,Height,Weight,Country,NOC,Games,Year,Season,City,Sport,Event,Medal,lat,lng
87514,Tibor Andrew Nyilas,M,34.0,183.0,82.0,United States,USA,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's Sabre, Team",Bronze,39.8935,-83.4375
92115,"Audrey ""Mickey"" Patterson (-Tyler)",F,21.0,170.0,51.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Women's 200 metres,Bronze,39.8935,-83.4375
92136,"Melvin Emery ""Mel"" Patton",M,23.0,185.0,72.0,United States,USA,1948 Summer,1948,Summer,London,Athletics,Athletics Men's 200 metres,Gold,39.8935,-83.4375
33736,Aeriwentha Mae Faggs (-Starr),F,24.0,158.0,50.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,28.1086,-80.6627
33430,"William Best ""Billy"" Evans",M,24.0,185.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
33262,Caldwell Blackman Esselstyn,M,22.0,192.0,89.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold,28.1086,-80.6627
30551,"Charles Everett ""Charlie"" Dumas",M,19.0,185.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's High Jump,Gold,28.1086,-80.6627
25694,Jack Wells Davis,M,26.0,190.0,70.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 110 metres Hurdles,Silver,28.1086,-80.6627
25686,Glenn Ashby Davis,M,22.0,183.0,73.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres Hurdles,Gold,28.1086,-80.6627
25378,"Charles Frick ""Chuck"" Darling",M,26.0,203.0,102.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Basketball,Basketball Men's Basketball,Gold,28.1086,-80.6627
25220,Jack Tupper Daniels,M,23.0,180.0,79.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,28.1086,-80.6627
25219,Isabelle Francis Daniels (-Holston),F,19.0,166.0,61.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze,28.1086,-80.6627
24252,"Joshua ""Josh"" Culbreath",M,24.0,170.0,62.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 400 metres Hurdles,Bronze,28.1086,-80.6627
23482,"Thomas William ""Tom"" Courtney",M,23.0,188.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,28.1086,-80.6627
23482,"Thomas William ""Tom"" Courtney",M,23.0,188.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 800 metres,Gold,28.1086,-80.6627
23338,"Bernard Patrick ""Pat"" Costello, Jr.",M,27.0,188.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Double Sculls,Silver,28.1086,-80.6627
35214,"James Thomas ""Jim"" Fifer",M,26.0,186.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxless Pairs,Gold,28.1086,-80.6627
22887,John Patrick Cooke,M,19.0,183.0,84.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold,28.1086,-80.6627
22698,"Harold Vincent ""Hal"" Connolly",M,25.0,183.0,106.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's Hammer Throw,Gold,28.1086,-80.6627
22645,Carin Alice Cone (-Vanderbush),F,16.0,167.0,59.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,Silver,28.1086,-80.6627
22080,"Robert Lynn ""Bob"" Clotworthy",M,25.0,160.0,60.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Diving,Diving Men's Springboard,Gold,28.1086,-80.6627
19923,"Thomas Jackson ""Tom"" Charlton, Jr.",M,22.0,183.0,81.0,United States,USA,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold,28.1086,-80.6627
